Timestamp,Temperature,Humidity,LightIntensity
2022/3/17 0:00:13,17.85,98.61,0.19
2022/3/17 0:00:45,17.86,98.65,0.19
2022/3/17 0:01:17,17.85,98.63,0.19
2022/3/17 0:01:49,17.83,98.63,0.13
2022/3/17 0:02:22,17.82,98.61,0.13
2022/3/17 0:02:54,17.88,98.60,0.13
2022/3/17 0:03:26,17.83,98.62,0.13
2022/3/17 0:03:59,17.82,98.63,0.19
2022/3/17 0:04:31,17.82,98.63,0.19
2022/3/17 0:05:03,17.79,98.64,0.19
2022/3/17 0:05:35,17.80,98.63,0.13
2022/3/17 0:06:08,17.76,98.62,0.13
2022/3/17 0:06:40,17.79,98.67,0.13
2022/3/17 0:07:12,17.80,98.68,0.19
2022/3/17 0:07:45,17.80,98.70,0.13
2022/3/17 0:08:17,17.78,98.70,0.13
2022/3/17 0:08:49,17.79,98.68,0.13
2022/3/17 0:09:21,17.76,98.66,0.19
2022/3/17 0:09:54,17.76,98.65,0.19
2022/3/17 0:10:26,17.75,98.68,0.13
2022/3/17 0:10:58,17.76,98.73,0.13
2022/3/17 0:11:31,17.75,98.76,0.13
2022/3/17 0:12:03,17.76,98.76,0.13
2022/3/17 0:12:35,17.76,98.79,0.13
2022/3/17 0:13:07,17.72,98.79,0.13
2022/3/17 0:13:40,17.72,98.84,0.13
2022/3/17 0:14:12,17.73,98.83,0.13
2022/3/17 0:14:44,17.72,98.83,0.13
2022/3/17 0:15:16,17.72,98.86,0.13
2022/3/17 0:15:49,17.73,98.81,0.13
2022/3/17 0:16:21,17.72,98.84,0.13
2022/3/17 0:16:53,17.72,98.88,0.19
2022/3/17 0:17:26,17.72,98.89,0.19
2022/3/17 0:17:58,17.70,98.85,0.19
2022/3/17 0:18:30,17.70,98.87,0.19
2022/3/17 0:19:02,17.70,98.89,0.19
2022/3/17 0:19:35,17.70,98.91,0.19
2022/3/17 0:20:07,17.72,98.95,0.19
2022/3/17 0:20:39,17.72,98.96,0.19
2022/3/17 0:21:11,17.69,98.97,0.13
2022/3/17 0:21:44,17.70,98.94,0.19
2022/3/17 0:22:16,17.73,98.97,0.13
2022/3/17 0:22:48,17.70,98.97,0.19
2022/3/17 0:23:21,17.69,98.96,0.19
2022/3/17 0:23:53,17.68,98.93,0.13
2022/3/17 0:24:25,17.70,98.94,0.13
2022/3/17 0:24:57,17.69,98.93,0.13
2022/3/17 0:25:30,17.69,98.95,0.13
2022/3/17 0:26:02,17.68,99.01,0.13
2022/3/17 0:26:34,17.69,99.01,0.13
2022/3/17 0:27:07,17.70,99.00,0.13
2022/3/17 0:27:39,17.68,99.04,0.13
2022/3/17 0:28:11,17.68,99.05,0.13
2022/3/17 0:28:43,17.70,99.05,0.13
2022/3/17 0:29:16,17.68,99.05,0.13
2022/3/17 0:29:48,17.69,99.04,0.13
2022/3/17 0:30:20,17.69,99.01,0.13
2022/3/17 0:30:53,17.69,99.02,0.13
2022/3/17 0:31:25,17.70,98.97,0.13
2022/3/17 0:31:57,17.70,99.01,0.19
2022/3/17 0:32:29,17.69,98.98,0.19
2022/3/17 0:33:02,17.69,98.97,0.19
2022/3/17 0:33:34,17.70,98.98,0.13
2022/3/17 0:34:06,17.73,98.92,0.13
2022/3/17 0:34:38,17.70,98.95,0.19
2022/3/17 0:35:11,17.69,98.92,0.19
2022/3/17 0:35:43,17.69,98.92,0.19
2022/3/17 0:36:15,17.68,98.92,0.19
2022/3/17 0:36:48,17.69,98.95,0.19
2022/3/17 0:37:20,17.70,98.94,0.19
