Timestamp,Temperature,Humidity,LightIntensity
2022/2/16 0:00:16,14.65,97.68,0.13
2022/2/16 0:00:48,14.69,97.68,0.13
2022/2/16 0:01:20,14.72,97.69,0.13
2022/2/16 0:01:52,14.75,97.67,0.13
2022/2/16 0:02:25,14.75,97.66,0.13
2022/2/16 0:02:57,14.76,97.60,0.13
2022/2/16 0:03:29,14.79,97.60,0.19
2022/2/16 0:04:01,14.80,97.58,0.13
2022/2/16 0:04:34,14.79,97.54,0.25
2022/2/16 0:05:06,14.80,97.49,0.19
2022/2/16 0:05:38,14.78,97.44,0.25
2022/2/16 0:06:10,14.78,97.37,0.13
2022/2/16 0:06:43,14.79,97.34,0.25
2022/2/16 0:07:15,14.82,97.33,0.19
2022/2/16 0:07:47,14.79,97.36,0.13
2022/2/16 0:08:19,14.78,97.24,0.13
2022/2/16 0:08:52,14.78,97.26,0.19
2022/2/16 0:09:24,14.76,97.22,0.13
2022/2/16 0:09:56,14.76,97.19,0.13
2022/2/16 0:10:28,14.73,97.19,0.13
2022/2/16 0:11:00,14.75,97.11,0.13
2022/2/16 0:11:33,14.72,97.15,0.13
2022/2/16 0:12:05,14.72,97.15,0.13
2022/2/16 0:12:37,14.73,97.16,0.25
2022/2/16 0:13:09,14.70,97.15,0.25
2022/2/16 0:13:42,14.69,97.17,0.25
2022/2/16 0:14:14,14.69,97.24,0.19
2022/2/16 0:14:46,14.69,97.23,0.25
2022/2/16 0:15:18,14.65,97.24,0.13
2022/2/16 0:15:51,14.66,97.31,0.13
2022/2/16 0:16:23,14.66,97.24,0.13
2022/2/16 0:16:55,14.65,97.25,0.19
2022/2/16 0:17:27,14.60,97.22,0.13
2022/2/16 0:17:59,14.60,97.20,0.13
2022/2/16 0:18:32,14.58,97.21,0.13
2022/2/16 0:19:04,14.56,97.29,0.25
2022/2/16 0:19:36,14.56,97.30,0.19
2022/2/16 0:20:08,14.55,97.33,0.19
2022/2/16 0:20:41,14.53,97.34,0.13
2022/2/16 0:21:13,14.53,97.34,0.13
2022/2/16 0:21:45,14.53,97.34,0.19
2022/2/16 0:22:17,14.52,97.37,0.25
2022/2/16 0:22:50,14.49,97.41,0.06
2022/2/16 0:23:22,14.51,97.43,0.13
2022/2/16 0:23:54,14.49,97.40,0.13
2022/2/16 0:24:26,14.48,97.37,0.25
2022/2/16 0:24:59,14.45,97.38,0.25
2022/2/16 0:25:31,14.46,97.42,0.25
2022/2/16 0:26:03,14.41,97.45,0.25
2022/2/16 0:26:35,14.45,97.46,0.25
2022/2/16 0:27:07,14.45,97.53,0.25
2022/2/16 0:27:40,14.43,97.55,0.25
2022/2/16 0:28:12,14.45,97.58,0.19
2022/2/16 0:28:44,14.42,97.59,0.25
2022/2/16 0:29:16,14.41,97.61,0.25
2022/2/16 0:29:49,14.38,97.61,0.25
2022/2/16 0:30:21,14.38,97.51,0.25
2022/2/16 0:30:53,14.35,97.50,0.25
2022/2/16 0:31:25,14.35,97.45,0.13
2022/2/16 0:31:58,14.32,97.48,0.13
2022/2/16 0:32:30,14.27,97.49,0.06
2022/2/16 0:33:02,14.28,97.58,0.13
2022/2/16 0:33:34,14.28,97.60,0.13
2022/2/16 0:34:07,14.27,97.63,0.13
2022/2/16 0:34:39,14.25,97.62,0.13
2022/2/16 0:35:11,14.25,97.63,0.13
2022/2/16 0:35:43,14.25,97.62,0.19
2022/2/16 0:36:15,14.19,97.64,0.13
2022/2/16 0:36:48,14.19,97.68,0.13
2022/2/16 0:37:20,14.19,97.70,0.13
2022/2/16 0:37:52,14.19,97.76,0.25
2022/2/16 0:38:24,14.21,97.78,0.19
2022/2/16 0:38:57,14.19,97.80,0.19
2022/2/16 0:39:29,14.19,97.82,0.25
2022/2/16 0:40:01,14.17,97.86,0.13
2022/2/16 0:40:33,14.21,97.86,0.13
2022/2/16 0:41:06,14.19,97.91,0.13
2022/2/16 0:41:38,14.19,97.94,0.13
2022/2/16 0:42:10,14.19,97.95,0.25
2022/2/16 0:42:42,14.22,98.00,0.13
2022/2/16 0:43:14,14.21,97.99,0.13
2022/2/16 0:43:47,14.24,98.03,0.13
2022/2/16 0:44:19,14.21,98.04,0.13
2022/2/16 0:44:51,14.22,98.07,0.13
2022/2/16 0:45:23,14.25,98.08,0.13
2022/2/16 0:45:56,14.25,98.11,0.19
2022/2/16 0:46:28,14.28,98.15,0.13
2022/2/16 0:47:00,14.25,98.13,0.13
2022/2/16 0:47:32,14.27,98.21,0.19
2022/2/16 0:48:05,14.31,98.22,0.19
2022/2/16 0:48:37,14.31,98.21,0.25
2022/2/16 0:49:09,14.31,98.17,0.25
2022/2/16 0:49:41,14.32,98.14,0.13
2022/2/16 0:50:14,14.31,98.12,0.13
2022/2/16 0:50:46,14.32,98.14,0.13
2022/2/16 0:51:18,14.32,98.16,0.13
2022/2/16 0:51:50,14.33,98.16,0.13
2022/2/16 0:52:23,14.35,98.16,0.25
2022/2/16 0:52:55,14.35,98.14,0.19
2022/2/16 0:53:27,14.35,98.18,0.25
2022/2/16 0:53:59,14.36,98.19,0.25
2022/2/16 0:54:31,14.36,98.17,0.25
2022/2/16 0:55:04,14.38,98.17,0.13
2022/2/16 0:55:36,14.41,98.19,0.13
2022/2/16 0:56:08,14.41,98.17,0.25
2022/2/16 0:56:40,14.42,98.16,0.19
2022/2/16 0:57:13,14.43,98.09,0.13
2022/2/16 0:57:45,14.42,98.10,0.25
2022/2/16 0:58:17,14.43,98.08,0.13
2022/2/16 0:58:49,14.46,98.06,0.13
2022/2/16 0:59:22,14.48,98.06,0.13
2022/2/16 0:59:54,14.48,98.06,0.13
2022/2/16 1:00:26,14.46,98.11,0.13
2022/2/16 1:00:58,14.48,98.13,0.06
2022/2/16 1:01:30,14.48,98.12,0.06
2022/2/16 1:02:03,14.49,98.15,0.13
2022/2/16 1:02:35,14.51,98.17,0.13
2022/2/16 1:03:07,14.52,98.15,0.13
2022/2/16 1:03:39,14.53,98.15,0.13
2022/2/16 1:04:12,14.55,98.15,0.13
2022/2/16 1:04:44,14.55,98.15,0.13
2022/2/16 1:05:16,14.56,98.14,0.06
2022/2/16 1:05:48,14.59,98.11,0.06
2022/2/16 1:06:21,14.59,98.07,0.06
2022/2/16 1:06:53,14.60,98.10,0.06
2022/2/16 1:07:25,14.60,98.09,0.13
2022/2/16 1:07:57,14.62,98.10,0.19
2022/2/16 1:08:30,14.65,98.03,0.13
2022/2/16 1:09:02,14.63,98.00,0.13
2022/2/16 1:09:34,14.65,97.99,0.13
2022/2/16 1:10:06,14.66,97.96,0.06
2022/2/16 1:10:39,14.68,97.97,0.06
2022/2/16 1:11:11,14.69,97.93,0.06
2022/2/16 1:11:43,14.72,97.96,0.06
2022/2/16 1:12:15,14.72,97.94,0.06
2022/2/16 1:12:47,14.75,97.94,0.13
2022/2/16 1:13:20,14.72,97.93,0.06
2022/2/16 1:13:52,14.76,97.92,0.13
2022/2/16 1:14:24,14.78,97.89,0.13
2022/2/16 1:14:56,14.79,97.92,0.13
2022/2/16 1:15:29,14.79,97.92,0.13
2022/2/16 1:16:01,14.82,97.92,0.06
2022/2/16 1:16:33,14.83,97.94,0.06
2022/2/16 1:17:05,14.83,97.95,0.06
2022/2/16 1:17:38,14.84,97.92,0.06
2022/2/16 1:18:10,14.87,97.93,0.06
2022/2/16 1:18:42,14.87,97.92,0.06
2022/2/16 1:19:14,14.86,97.88,0.13
2022/2/16 1:19:47,14.86,97.89,0.13
2022/2/16 1:20:19,14.90,97.85,0.06
2022/2/16 1:20:51,14.90,97.85,0.06
2022/2/16 1:21:23,14.92,97.87,0.06
2022/2/16 1:21:55,14.93,97.84,0.06
2022/2/16 1:22:28,14.94,97.87,0.13
2022/2/16 1:23:00,14.96,97.79,0.06
2022/2/16 1:23:32,14.96,97.83,0.06
2022/2/16 1:24:04,14.99,97.80,0.13
2022/2/16 1:24:37,14.99,97.79,0.13
2022/2/16 1:25:09,14.99,97.73,0.13
2022/2/16 1:25:41,14.99,97.67,0.06
2022/2/16 1:26:13,15.00,97.67,0.06
2022/2/16 1:26:46,15.00,97.63,0.06
2022/2/16 1:27:18,15.00,97.60,0.06
2022/2/16 1:27:50,14.99,97.62,0.06
2022/2/16 1:28:22,15.01,97.56,0.06
2022/2/16 1:28:55,15.04,97.60,0.06
2022/2/16 1:29:27,15.03,97.63,0.13
2022/2/16 1:29:59,15.06,97.56,0.13
2022/2/16 1:30:31,15.07,97.62,0.13
2022/2/16 1:31:03,15.07,97.59,0.06
2022/2/16 1:31:36,15.07,97.63,0.06
2022/2/16 1:32:08,15.11,97.59,0.06
2022/2/16 1:32:40,15.09,97.63,0.06
2022/2/16 1:33:12,15.13,97.65,0.06
2022/2/16 1:33:45,15.13,97.65,0.06
2022/2/16 1:34:17,15.14,97.63,0.06
2022/2/16 1:34:49,15.14,97.58,0.06
2022/2/16 1:35:21,15.15,97.58,0.06
2022/2/16 1:35:54,15.14,97.56,0.06
2022/2/16 1:36:26,15.19,97.55,0.06
2022/2/16 1:36:58,15.17,97.54,0.06
2022/2/16 1:37:30,15.19,97.49,0.06
2022/2/16 1:38:03,15.19,97.44,0.06
2022/2/16 1:38:35,15.20,97.42,0.06
2022/2/16 1:39:07,15.20,97.44,0.06
2022/2/16 1:39:39,15.21,97.40,0.06
2022/2/16 1:40:11,15.21,97.45,0.06
2022/2/16 1:40:44,15.23,97.41,0.06
2022/2/16 1:41:16,15.24,97.34,0.06
2022/2/16 1:41:48,15.26,97.36,0.06
2022/2/16 1:42:20,15.26,97.39,0.06
2022/2/16 1:42:53,15.29,97.39,0.06
2022/2/16 1:43:25,15.29,97.33,0.06
2022/2/16 1:43:57,15.33,97.32,0.06
2022/2/16 1:44:29,15.30,97.30,0.06
2022/2/16 1:45:02,15.30,97.26,0.06
2022/2/16 1:45:34,15.33,97.23,0.06
2022/2/16 1:46:06,15.33,97.23,0.06
2022/2/16 1:46:38,15.33,97.28,0.06
2022/2/16 1:47:10,15.33,97.26,0.06
2022/2/16 1:47:43,15.35,97.24,0.06
2022/2/16 1:48:15,15.38,97.18,0.06
2022/2/16 1:48:47,15.38,97.23,0.06
2022/2/16 1:49:19,15.37,97.24,0.06
2022/2/16 1:49:52,15.38,97.19,0.06
2022/2/16 1:50:24,15.37,97.15,0.06
2022/2/16 1:50:56,15.40,97.19,0.06
2022/2/16 1:51:28,15.41,97.17,0.06
2022/2/16 1:52:01,15.43,97.16,0.06
