Timestamp,Temperature,Humidity,LightIntensity
2021/12/19 0:00:07,12.82,93.96,0.25
2021/12/19 0:00:39,12.82,94.00,0.25
2021/12/19 0:01:12,12.84,93.93,0.25
2021/12/19 0:01:44,12.79,93.50,0.25
2021/12/19 0:02:16,12.75,93.30,0.25
2021/12/19 0:02:48,12.68,93.32,0.25
2021/12/19 0:03:20,12.69,94.06,0.25
2021/12/19 0:03:52,12.71,94.22,0.25
2021/12/19 0:04:24,12.78,94.27,0.25
2021/12/19 0:04:57,12.85,93.76,0.25
2021/12/19 0:05:29,12.81,93.53,0.25
2021/12/19 0:06:01,12.81,93.99,0.25
2021/12/19 0:06:33,12.85,94.03,0.25
2021/12/19 0:07:05,12.89,94.03,0.25
2021/12/19 0:07:37,12.95,93.99,0.25
2021/12/19 0:08:10,13.03,93.61,0.25
2021/12/19 0:08:42,13.13,93.31,0.25
2021/12/19 0:09:14,13.17,92.93,0.25
2021/12/19 0:09:46,13.22,92.88,0.25
2021/12/19 0:10:18,13.20,92.53,0.25
2021/12/19 0:10:50,13.16,92.58,0.25
2021/12/19 0:11:23,13.25,92.49,0.25
2021/12/19 0:11:55,13.26,92.41,0.25
2021/12/19 0:12:27,13.30,92.27,0.25
2021/12/19 0:12:59,13.30,92.07,0.25
2021/12/19 0:13:31,13.32,92.24,0.25
2021/12/19 0:14:03,13.36,92.17,0.25
2021/12/19 0:14:35,13.35,92.34,0.25
2021/12/19 0:15:08,13.36,92.28,0.25
2021/12/19 0:15:40,13.36,92.25,0.25
2021/12/19 0:16:12,13.37,92.25,0.25
2021/12/19 0:16:44,13.40,92.19,0.25
2021/12/19 0:17:16,13.43,92.25,0.25
2021/12/19 0:17:48,13.45,91.85,0.25
2021/12/19 0:18:21,13.45,91.83,0.25
2021/12/19 0:18:53,13.42,91.92,0.25
2021/12/19 0:19:25,13.39,91.83,0.25
2021/12/19 0:19:57,13.36,91.93,0.25
2021/12/19 0:20:29,13.30,92.03,0.25
2021/12/19 0:21:01,13.23,92.03,0.25
2021/12/19 0:21:34,13.19,92.74,0.25
2021/12/19 0:22:06,13.22,92.98,0.25
2021/12/19 0:22:38,13.26,93.09,0.25
2021/12/19 0:23:10,13.32,92.85,0.25
2021/12/19 0:23:42,13.35,92.72,0.25
2021/12/19 0:24:14,13.39,92.66,0.25
2021/12/19 0:24:47,13.39,92.67,0.25
2021/12/19 0:25:19,13.39,92.52,0.25
2021/12/19 0:25:51,13.39,92.62,0.06
2021/12/19 0:26:23,13.37,92.63,0.13
2021/12/19 0:26:55,13.43,92.63,0.19
2021/12/19 0:27:27,13.49,92.36,0.13
2021/12/19 0:28:00,13.57,92.00,0.31
2021/12/19 0:28:32,13.61,91.73,0.25
2021/12/19 0:29:04,13.64,91.74,0.25
2021/12/19 0:29:36,13.67,91.81,0.25
2021/12/19 0:30:08,13.68,91.72,0.25
2021/12/19 0:30:40,13.68,91.60,0.25
2021/12/19 0:31:12,13.70,91.62,0.25
2021/12/19 0:31:45,13.74,91.42,0.25
2021/12/19 0:32:17,13.74,91.30,0.25
2021/12/19 0:32:49,13.76,91.47,0.25
2021/12/19 0:33:21,13.74,91.51,0.25
2021/12/19 0:33:53,13.74,91.35,0.25
2021/12/19 0:34:25,13.73,91.13,0.25
2021/12/19 0:34:58,13.77,90.99,0.25
2021/12/19 0:35:30,13.77,91.15,0.25
2021/12/19 0:36:02,13.74,91.14,0.25
2021/12/19 0:36:34,13.77,91.02,0.25
2021/12/19 0:37:06,13.78,90.97,0.25
2021/12/19 0:37:38,13.76,91.05,0.31
2021/12/19 0:38:11,13.76,91.08,0.25
2021/12/19 0:38:43,13.74,91.25,0.25
2021/12/19 0:39:15,13.74,91.11,0.25
2021/12/19 0:39:47,13.73,91.15,0.25
2021/12/19 0:40:19,13.71,91.28,0.25
2021/12/19 0:40:51,13.70,91.35,0.25
2021/12/19 0:41:23,13.70,91.39,0.25
2021/12/19 0:41:56,13.67,91.39,0.25
2021/12/19 0:42:28,13.68,91.60,0.25
2021/12/19 0:43:00,13.70,91.62,0.25
2021/12/19 0:43:32,13.67,91.62,0.25
2021/12/19 0:44:04,13.67,91.61,0.25
2021/12/19 0:44:36,13.68,91.57,0.25
2021/12/19 0:45:09,13.67,91.77,0.25
2021/12/19 0:45:41,13.66,91.64,0.25
2021/12/19 0:46:13,13.58,91.54,0.25
2021/12/19 0:46:45,13.54,91.93,0.25
2021/12/19 0:47:17,13.47,92.16,0.25
2021/12/19 0:47:49,13.42,92.23,0.25
2021/12/19 0:48:22,13.36,92.52,0.25
2021/12/19 0:48:54,13.29,92.59,0.25
2021/12/19 0:49:26,13.27,92.81,0.25
2021/12/19 0:49:58,13.27,93.09,0.25
2021/12/19 0:50:30,13.29,93.12,0.25
2021/12/19 0:51:02,13.30,93.01,0.25
2021/12/19 0:51:34,13.35,93.07,0.25
2021/12/19 0:52:07,13.35,92.95,0.25
2021/12/19 0:52:39,13.35,93.05,0.31
2021/12/19 0:53:11,13.42,92.91,0.19
2021/12/19 0:53:43,13.43,92.77,0.13
2021/12/19 0:54:15,13.49,92.63,0.31
2021/12/19 0:54:47,13.54,92.41,0.31
2021/12/19 0:55:20,13.56,92.25,0.19
2021/12/19 0:55:52,13.56,92.15,0.31
2021/12/19 0:56:24,13.56,92.05,0.06
2021/12/19 0:56:56,13.57,92.07,0.06
2021/12/19 0:57:28,13.57,92.14,0.06
2021/12/19 0:58:00,13.57,92.35,0.13
2021/12/19 0:58:33,13.56,92.25,0.06
2021/12/19 0:59:05,13.56,92.22,0.06
2021/12/19 0:59:37,13.54,92.30,0.06
2021/12/19 1:00:09,13.53,92.30,0.06
2021/12/19 1:00:41,13.53,92.20,0.25
2021/12/19 1:01:13,13.53,92.23,0.25
2021/12/19 1:01:45,13.53,92.15,0.25
2021/12/19 1:02:18,13.53,91.98,0.25
2021/12/19 1:02:50,13.54,91.86,0.25
2021/12/19 1:03:22,13.53,92.14,0.25
2021/12/19 1:03:54,13.50,92.28,0.25
2021/12/19 1:04:26,13.51,92.07,0.25
2021/12/19 1:04:58,13.50,92.09,0.25
2021/12/19 1:05:31,13.47,92.09,0.25
2021/12/19 1:06:03,13.47,92.12,0.25
2021/12/19 1:06:35,13.49,92.36,0.25
2021/12/19 1:07:07,13.43,92.40,0.25
2021/12/19 1:07:39,13.40,92.40,0.25
2021/12/19 1:08:11,13.40,92.82,0.25
2021/12/19 1:08:44,13.40,92.71,0.25
2021/12/19 1:09:16,13.39,92.67,0.25
2021/12/19 1:09:48,13.39,92.60,0.25
2021/12/19 1:10:20,13.35,92.81,0.25
2021/12/19 1:10:52,13.37,92.73,0.25
2021/12/19 1:11:24,13.39,92.72,0.25
2021/12/19 1:11:57,13.39,92.66,0.25
2021/12/19 1:12:29,13.37,92.62,0.25
2021/12/19 1:13:01,13.39,92.87,0.25
2021/12/19 1:13:33,13.36,92.79,0.25
2021/12/19 1:14:05,13.35,92.71,0.25
2021/12/19 1:14:37,13.33,92.80,0.25
2021/12/19 1:15:09,13.35,92.96,0.25
2021/12/19 1:15:42,13.30,92.97,0.25
2021/12/19 1:16:14,13.32,92.89,0.25
2021/12/19 1:16:46,13.30,92.87,0.25
2021/12/19 1:17:18,13.29,92.95,0.25
2021/12/19 1:17:50,13.23,92.94,0.25
2021/12/19 1:18:22,13.19,92.79,0.25
2021/12/19 1:18:55,13.16,92.91,0.25
2021/12/19 1:19:27,13.10,93.13,0.25
2021/12/19 1:19:59,13.10,93.60,0.25
2021/12/19 1:20:31,13.06,93.70,0.25
2021/12/19 1:21:03,13.02,93.97,0.13
2021/12/19 1:21:35,13.06,94.07,0.13
2021/12/19 1:22:08,13.05,93.93,0.13
2021/12/19 1:22:40,13.02,93.65,0.25
2021/12/19 1:23:12,13.00,94.07,0.25
2021/12/19 1:23:44,13.02,94.26,0.25
2021/12/19 1:24:16,13.02,94.33,0.25
2021/12/19 1:24:48,13.02,94.40,0.25
2021/12/19 1:25:21,13.02,94.49,0.25
2021/12/19 1:25:53,13.00,94.00,0.25
2021/12/19 1:26:25,12.98,94.15,0.25
2021/12/19 1:26:57,12.98,94.31,0.25
2021/12/19 1:27:29,12.99,94.35,0.25
2021/12/19 1:28:01,12.99,94.40,0.25
2021/12/19 1:28:34,13.05,94.19,0.25
2021/12/19 1:29:06,13.06,94.12,0.25
2021/12/19 1:29:38,13.07,94.05,0.25
