Timestamp,Temperature,Humidity,LightIntensity
2022/2/23 0:00:06,13.30,99.33,0.06
2022/2/23 0:00:38,13.30,99.28,0.06
2022/2/23 0:01:10,13.32,99.31,0.06
2022/2/23 0:01:43,13.30,99.33,0.06
2022/2/23 0:02:15,13.29,99.33,0.06
2022/2/23 0:02:47,13.35,99.33,0.06
2022/2/23 0:03:19,13.32,99.30,0.06
2022/2/23 0:03:52,13.32,99.29,0.06
2022/2/23 0:04:24,13.30,99.28,0.06
2022/2/23 0:04:56,13.29,99.27,0.06
2022/2/23 0:05:28,13.29,99.24,0.06
2022/2/23 0:06:01,13.27,99.24,0.06
2022/2/23 0:06:33,13.27,99.22,0.06
2022/2/23 0:07:05,13.27,99.19,0.06
2022/2/23 0:07:37,13.25,99.17,0.06
2022/2/23 0:08:10,13.25,99.18,0.06
2022/2/23 0:08:42,13.22,99.21,0.06
2022/2/23 0:09:14,13.22,99.22,0.06
2022/2/23 0:09:46,13.23,99.21,0.06
2022/2/23 0:10:19,13.23,99.23,0.06
2022/2/23 0:10:51,13.23,99.28,0.06
2022/2/23 0:11:23,13.22,99.28,0.06
2022/2/23 0:11:55,13.23,99.32,0.06
2022/2/23 0:12:27,13.26,99.34,0.06
2022/2/23 0:13:00,13.27,99.34,0.06
2022/2/23 0:13:32,13.29,99.37,0.06
2022/2/23 0:14:04,13.27,99.32,0.06
2022/2/23 0:14:36,13.27,99.37,0.06
2022/2/23 0:15:09,13.29,99.41,0.06
2022/2/23 0:15:41,13.29,99.42,0.06
2022/2/23 0:16:13,13.29,99.41,0.06
2022/2/23 0:16:45,13.27,99.40,0.06
2022/2/23 0:17:18,13.29,99.38,0.06
2022/2/23 0:17:50,13.27,99.41,0.06
2022/2/23 0:18:22,13.27,99.41,0.06
2022/2/23 0:18:54,13.25,99.35,0.06
2022/2/23 0:19:27,13.23,99.35,0.06
2022/2/23 0:19:59,13.22,99.34,0.06
2022/2/23 0:20:31,13.23,99.28,0.06
2022/2/23 0:21:03,13.22,99.30,0.06
2022/2/23 0:21:36,13.23,99.33,0.06
2022/2/23 0:22:08,13.23,99.36,0.06
2022/2/23 0:22:40,13.22,99.34,0.06
2022/2/23 0:23:12,13.22,99.30,0.06
2022/2/23 0:23:45,13.20,99.30,0.06
2022/2/23 0:24:17,13.19,99.28,0.06
2022/2/23 0:24:49,13.19,99.27,0.06
2022/2/23 0:25:21,13.16,99.24,0.06
2022/2/23 0:25:54,13.15,99.25,0.06
2022/2/23 0:26:26,13.10,99.24,0.06
2022/2/23 0:26:58,13.10,99.24,0.06
2022/2/23 0:27:31,13.13,99.25,0.06
2022/2/23 0:28:03,13.13,99.27,0.06
2022/2/23 0:28:35,13.09,99.20,0.06
2022/2/23 0:29:07,13.09,99.21,0.06
2022/2/23 0:29:40,13.06,99.21,0.06
2022/2/23 0:30:12,13.06,99.20,0.06
2022/2/23 0:30:44,13.05,99.18,0.06
2022/2/23 0:31:16,13.00,99.19,0.06
2022/2/23 0:31:48,12.99,99.18,0.06
2022/2/23 0:32:21,13.00,99.16,0.06
2022/2/23 0:32:53,12.99,99.16,0.06
2022/2/23 0:33:25,12.95,99.18,0.06
2022/2/23 0:33:57,12.95,99.16,0.06
2022/2/23 0:34:30,12.95,99.15,0.06
2022/2/23 0:35:02,12.94,99.19,0.06
2022/2/23 0:35:34,12.94,99.18,0.06
2022/2/23 0:36:06,12.89,99.19,0.06
2022/2/23 0:36:39,12.89,99.22,0.06
2022/2/23 0:37:11,12.91,99.21,0.06
2022/2/23 0:37:43,12.89,99.22,0.06
2022/2/23 0:38:15,12.86,99.21,0.06
2022/2/23 0:38:48,12.86,99.20,0.06
2022/2/23 0:39:20,12.85,99.20,0.06
2022/2/23 0:39:52,12.84,99.18,0.06
2022/2/23 0:40:24,12.81,99.19,0.06
2022/2/23 0:40:57,12.81,99.20,0.06
2022/2/23 0:41:29,12.81,99.25,0.06
2022/2/23 0:42:01,12.78,99.21,0.06
2022/2/23 0:42:34,12.78,99.21,0.06
2022/2/23 0:43:06,12.76,99.23,0.06
2022/2/23 0:43:38,12.75,99.20,0.06
2022/2/23 0:44:10,12.74,99.24,0.06
2022/2/23 0:44:43,12.76,99.24,0.06
2022/2/23 0:45:15,12.72,99.28,0.06
2022/2/23 0:45:47,12.72,99.29,0.06
2022/2/23 0:46:19,12.72,99.28,0.06
2022/2/23 0:46:52,12.69,99.31,0.06
2022/2/23 0:47:24,12.72,99.36,0.06
2022/2/23 0:47:56,12.71,99.35,0.06
2022/2/23 0:48:28,12.71,99.36,0.06
2022/2/23 0:49:01,12.71,99.35,0.06
2022/2/23 0:49:33,12.69,99.37,0.06
2022/2/23 0:50:05,12.66,99.36,0.06
2022/2/23 0:50:37,12.68,99.39,0.06
2022/2/23 0:51:09,12.68,99.39,0.06
2022/2/23 0:51:42,12.68,99.37,0.06
2022/2/23 0:52:14,12.68,99.39,0.06
2022/2/23 0:52:46,12.68,99.40,0.06
2022/2/23 0:53:19,12.68,99.42,0.06
2022/2/23 0:53:51,12.64,99.45,0.06
2022/2/23 0:54:23,12.64,99.41,0.06
2022/2/23 0:54:55,12.64,99.37,0.06
2022/2/23 0:55:28,12.62,99.40,0.06
2022/2/23 0:56:00,12.61,99.36,0.06
2022/2/23 0:56:32,12.61,99.39,0.06
2022/2/23 0:57:04,12.58,99.36,0.06
2022/2/23 0:57:36,12.61,99.39,0.06
2022/2/23 0:58:09,12.58,99.41,0.06
2022/2/23 0:58:41,12.59,99.40,0.06
2022/2/23 0:59:13,12.56,99.41,0.06
2022/2/23 0:59:45,12.58,99.44,0.06
2022/2/23 1:00:18,12.58,99.46,0.06
2022/2/23 1:00:50,12.59,99.47,0.06
2022/2/23 1:01:22,12.56,99.51,0.06
2022/2/23 1:01:54,12.56,99.49,0.06
2022/2/23 1:02:27,12.56,99.48,0.06
2022/2/23 1:02:59,12.54,99.49,0.06
2022/2/23 1:03:31,12.55,99.47,0.06
2022/2/23 1:04:03,12.54,99.48,0.06
2022/2/23 1:04:36,12.52,99.52,0.06
2022/2/23 1:05:08,12.52,99.55,0.06
2022/2/23 1:05:40,12.51,99.49,0.06
2022/2/23 1:06:12,12.49,99.53,0.06
2022/2/23 1:06:45,12.51,99.52,0.06
2022/2/23 1:07:17,12.49,99.53,0.06
2022/2/23 1:07:49,12.49,99.55,0.06
2022/2/23 1:08:21,12.49,99.56,0.06
2022/2/23 1:08:54,12.48,99.60,0.06
2022/2/23 1:09:26,12.47,99.57,0.06
2022/2/23 1:09:58,12.45,99.59,0.06
2022/2/23 1:10:30,12.45,99.56,0.06
2022/2/23 1:11:03,12.47,99.59,0.06
2022/2/23 1:11:35,12.44,99.57,0.06
2022/2/23 1:12:07,12.45,99.57,0.06
2022/2/23 1:12:39,12.44,99.60,0.06
2022/2/23 1:13:12,12.44,99.59,0.06
2022/2/23 1:13:44,12.44,99.58,0.06
2022/2/23 1:14:16,12.43,99.58,0.06
2022/2/23 1:14:48,12.40,99.58,0.06
2022/2/23 1:15:21,12.40,99.57,0.06
2022/2/23 1:15:53,12.40,99.57,0.06
2022/2/23 1:16:25,12.40,99.59,0.06
2022/2/23 1:16:57,12.40,99.60,0.06
2022/2/23 1:17:30,12.38,99.60,0.06
2022/2/23 1:18:02,12.38,99.62,0.06
2022/2/23 1:18:34,12.38,99.64,0.06
2022/2/23 1:19:06,12.41,99.66,0.06
2022/2/23 1:19:39,12.41,99.68,0.06
2022/2/23 1:20:11,12.40,99.68,0.06
2022/2/23 1:20:43,12.40,99.68,0.06
2022/2/23 1:21:15,12.40,99.70,0.06
2022/2/23 1:21:48,12.38,99.71,0.06
2022/2/23 1:22:20,12.40,99.71,0.06
2022/2/23 1:22:52,12.41,99.70,0.06
2022/2/23 1:23:24,12.38,99.71,0.06
2022/2/23 1:23:57,12.40,99.72,0.06
2022/2/23 1:24:29,12.37,99.72,0.06
2022/2/23 1:25:01,12.37,99.76,0.06
2022/2/23 1:25:33,12.40,99.81,0.06
2022/2/23 1:26:06,12.40,99.84,0.06
2022/2/23 1:26:38,12.43,99.87,0.06
2022/2/23 1:27:10,12.43,99.89,0.06
2022/2/23 1:27:42,12.45,99.93,0.06
2022/2/23 1:28:15,12.45,99.90,0.06
2022/2/23 1:28:47,12.45,99.96,0.06
2022/2/23 1:29:19,12.48,99.97,0.06
2022/2/23 1:29:51,12.51,99.96,0.06
2022/2/23 1:30:24,12.51,99.93,0.06
2022/2/23 1:30:56,12.48,99.95,0.06
2022/2/23 1:31:28,12.47,99.95,0.06
2022/2/23 1:32:00,12.49,99.95,0.06
2022/2/23 1:32:33,12.49,99.95,0.06
2022/2/23 1:33:05,12.52,99.98,0.06
2022/2/23 1:33:37,12.49,99.95,0.06
2022/2/23 1:34:09,12.48,99.96,0.06
2022/2/23 1:34:42,12.48,99.96,0.06
2022/2/23 1:35:14,12.48,99.94,0.06
2022/2/23 1:35:46,12.47,99.94,0.06
2022/2/23 1:36:18,12.48,99.95,0.06
2022/2/23 1:36:51,12.48,99.98,0.06
2022/2/23 1:37:23,12.48,99.96,0.06
2022/2/23 1:37:55,12.49,99.93,0.06
2022/2/23 1:38:27,12.47,99.92,0.06
2022/2/23 1:39:00,12.48,99.99,0.06
2022/2/23 1:39:32,12.48,99.96,0.06
2022/2/23 1:40:04,12.47,99.98,0.06
2022/2/23 1:40:36,12.48,99.95,0.06
2022/2/23 1:41:09,12.48,99.96,0.06
2022/2/23 1:41:41,12.45,100.00,0.06
2022/2/23 1:42:13,12.47,99.95,0.06
2022/2/23 1:42:45,12.47,100.00,0.06
2022/2/23 1:43:18,12.49,100.00,0.06
2022/2/23 1:43:50,12.49,99.98,0.06
2022/2/23 1:44:22,12.48,99.96,0.06
2022/2/23 1:44:54,12.49,99.96,0.06
2022/2/23 1:45:27,12.48,99.98,0.06
2022/2/23 1:45:59,12.45,99.92,0.06
2022/2/23 1:46:31,12.45,99.93,0.06
2022/2/23 1:47:03,12.43,99.91,0.06
2022/2/23 1:47:36,12.44,99.88,0.06
2022/2/23 1:48:08,12.41,99.87,0.06
2022/2/23 1:48:40,12.43,99.88,0.06
2022/2/23 1:49:12,12.44,99.84,0.06
2022/2/23 1:49:45,12.43,99.85,0.06
2022/2/23 1:50:17,12.41,99.87,0.06
2022/2/23 1:50:49,12.40,99.87,0.06
2022/2/23 1:51:21,12.38,99.88,0.06
2022/2/23 1:51:54,12.41,99.90,0.06
2022/2/23 1:52:26,12.41,99.93,0.06
2022/2/23 1:52:58,12.41,99.92,0.06
2022/2/23 1:53:30,12.41,99.92,0.06
2022/2/23 1:54:03,12.38,99.96,0.06
2022/2/23 1:54:35,12.40,99.92,0.06
2022/2/23 1:55:07,12.38,99.89,0.06
2022/2/23 1:55:39,12.40,99.90,0.06
2022/2/23 1:56:12,12.38,99.95,0.06
2022/2/23 1:56:44,12.38,99.96,0.06
2022/2/23 1:57:16,12.38,99.96,0.06
2022/2/23 1:57:48,12.41,99.97,0.06
