Timestamp,Temperature,Humidity,LightIntensity
2022/1/29 0:00:15,10.71,97.69,0.06
2022/1/29 0:00:47,10.72,97.67,0.06
2022/1/29 0:01:20,10.68,97.62,0.06
2022/1/29 0:01:52,10.71,97.66,0.06
2022/1/29 0:02:24,10.71,97.70,0.06
2022/1/29 0:02:56,10.68,97.67,0.06
2022/1/29 0:03:28,10.70,97.65,0.06
2022/1/29 0:04:01,10.68,97.70,0.06
2022/1/29 0:04:33,10.70,97.76,0.06
2022/1/29 0:05:05,10.68,97.84,0.06
2022/1/29 0:05:37,10.65,97.80,0.06
2022/1/29 0:06:10,10.65,97.68,0.06
2022/1/29 0:06:42,10.65,97.65,0.06
2022/1/29 0:07:14,10.64,97.61,0.06
2022/1/29 0:07:46,10.64,97.61,0.06
2022/1/29 0:08:18,10.65,97.64,0.06
2022/1/29 0:08:51,10.65,97.70,0.06
2022/1/29 0:09:23,10.63,97.76,0.06
2022/1/29 0:09:55,10.61,97.76,0.06
2022/1/29 0:10:27,10.63,97.76,0.06
2022/1/29 0:10:59,10.60,97.71,0.06
2022/1/29 0:11:32,10.60,97.65,0.06
2022/1/29 0:12:04,10.59,97.63,0.06
2022/1/29 0:12:36,10.59,97.66,0.06
2022/1/29 0:13:08,10.59,97.67,0.06
2022/1/29 0:13:41,10.56,97.68,0.06
2022/1/29 0:14:13,10.59,97.71,0.06
2022/1/29 0:14:45,10.57,97.72,0.06
2022/1/29 0:15:17,10.56,97.72,0.06
2022/1/29 0:15:49,10.53,97.70,0.06
2022/1/29 0:16:22,10.53,97.69,0.06
2022/1/29 0:16:54,10.53,97.75,0.06
2022/1/29 0:17:26,10.51,97.70,0.06
2022/1/29 0:17:58,10.51,97.71,0.06
2022/1/29 0:18:30,10.54,97.71,0.06
2022/1/29 0:19:03,10.53,97.78,0.06
2022/1/29 0:19:35,10.49,97.85,0.06
2022/1/29 0:20:07,10.53,97.83,0.06
2022/1/29 0:20:39,10.53,97.90,0.06
2022/1/29 0:21:12,10.54,97.93,0.06
2022/1/29 0:21:44,10.54,97.89,0.06
2022/1/29 0:22:16,10.51,97.90,0.06
2022/1/29 0:22:48,10.50,97.83,0.06
2022/1/29 0:23:20,10.50,97.85,0.06
2022/1/29 0:23:53,10.49,97.90,0.06
2022/1/29 0:24:25,10.47,97.93,0.06
2022/1/29 0:24:57,10.49,97.90,0.06
2022/1/29 0:25:29,10.47,97.96,0.06
2022/1/29 0:26:02,10.49,97.95,0.06
2022/1/29 0:26:34,10.47,97.86,0.06
2022/1/29 0:27:06,10.46,97.83,0.06
2022/1/29 0:27:38,10.46,97.81,0.06
2022/1/29 0:28:10,10.43,97.83,0.06
2022/1/29 0:28:43,10.46,97.81,0.06
2022/1/29 0:29:15,10.43,97.83,0.06
2022/1/29 0:29:47,10.43,97.84,0.06
2022/1/29 0:30:19,10.43,97.86,0.06
2022/1/29 0:30:52,10.43,97.90,0.06
2022/1/29 0:31:24,10.43,97.98,0.06
2022/1/29 0:31:56,10.44,97.99,0.06
2022/1/29 0:32:28,10.41,97.99,0.06
2022/1/29 0:33:00,10.43,97.97,0.06
2022/1/29 0:33:33,10.41,97.92,0.06
2022/1/29 0:34:05,10.41,97.94,0.06
2022/1/29 0:34:37,10.40,98.05,0.06
2022/1/29 0:35:09,10.43,98.06,0.06
2022/1/29 0:35:41,10.40,98.07,0.06
2022/1/29 0:36:14,10.41,98.10,0.06
2022/1/29 0:36:46,10.41,98.02,0.06
2022/1/29 0:37:18,10.40,97.99,0.06
2022/1/29 0:37:50,10.40,97.99,0.06
2022/1/29 0:38:23,10.41,98.01,0.06
2022/1/29 0:38:55,10.41,98.01,0.06
2022/1/29 0:39:27,10.39,98.02,0.06
2022/1/29 0:39:59,10.40,98.05,0.06
2022/1/29 0:40:31,10.37,98.05,0.06
2022/1/29 0:41:04,10.39,98.10,0.06
2022/1/29 0:41:36,10.40,98.08,0.06
2022/1/29 0:42:08,10.39,98.03,0.06
2022/1/29 0:42:40,10.36,98.01,0.06
2022/1/29 0:43:13,10.37,97.94,0.06
2022/1/29 0:43:45,10.37,97.98,0.06
2022/1/29 0:44:17,10.35,98.03,0.06
2022/1/29 0:44:49,10.36,98.03,0.06
2022/1/29 0:45:21,10.36,98.01,0.06
2022/1/29 0:45:54,10.35,98.03,0.06
2022/1/29 0:46:26,10.33,98.03,0.06
2022/1/29 0:46:58,10.35,98.04,0.06
2022/1/29 0:47:30,10.32,98.02,0.06
2022/1/29 0:48:02,10.30,98.08,0.06
2022/1/29 0:48:35,10.30,98.11,0.06
2022/1/29 0:49:07,10.32,98.12,0.06
2022/1/29 0:49:39,10.30,98.12,0.06
2022/1/29 0:50:11,10.30,98.04,0.06
2022/1/29 0:50:43,10.30,98.02,0.06
2022/1/29 0:51:16,10.32,98.01,0.06
2022/1/29 0:51:48,10.29,98.08,0.06
2022/1/29 0:52:20,10.30,98.12,0.06
2022/1/29 0:52:52,10.29,98.16,0.06
2022/1/29 0:53:25,10.30,98.13,0.06
2022/1/29 0:53:57,10.30,98.12,0.06
2022/1/29 0:54:29,10.30,98.09,0.06
2022/1/29 0:55:01,10.29,98.13,0.06
2022/1/29 0:55:33,10.29,98.17,0.06
2022/1/29 0:56:06,10.32,98.20,0.06
2022/1/29 0:56:38,10.32,98.16,0.06
2022/1/29 0:57:10,10.32,98.18,0.06
2022/1/29 0:57:42,10.30,98.15,0.06
2022/1/29 0:58:14,10.30,98.20,0.06
2022/1/29 0:58:47,10.30,98.23,0.06
2022/1/29 0:59:19,10.29,98.26,0.06
2022/1/29 0:59:51,10.32,98.24,0.06
2022/1/29 1:00:23,10.30,98.22,0.06
2022/1/29 1:00:56,10.29,98.13,0.06
2022/1/29 1:01:28,10.29,98.12,0.06
2022/1/29 1:02:00,10.27,98.13,0.06
2022/1/29 1:02:32,10.32,98.14,0.06
2022/1/29 1:03:04,10.30,98.20,0.06
2022/1/29 1:03:37,10.29,98.20,0.06
2022/1/29 1:04:09,10.29,98.20,0.06
2022/1/29 1:04:41,10.30,98.22,0.06
2022/1/29 1:05:13,10.30,98.17,0.06
2022/1/29 1:05:45,10.29,98.14,0.06
2022/1/29 1:06:18,10.29,98.08,0.06
2022/1/29 1:06:50,10.26,98.12,0.06
